gene:Sspon.01G0039470-1P gene:Sspon.01G0039490-1B
gene:Sspon.01G0010380-1P gene:Sspon.01G0039570-1B
gene:Sspon.01G0010440-1P gene:Sspon.01G0010440-2B
gene:Sspon.01G0039610-2P gene:Sspon.01G0039620-1B
gene:Sspon.01G0011000-2B gene:Sspon.01G0039830-1B
gene:Sspon.01G0011070-2B gene:Sspon.01G0039840-1B
gene:Sspon.01G0039950-1B gene:Sspon.02G0002600-2B
gene:Sspon.01G0011650-2B gene:Sspon.01G0011650-1P
gene:Sspon.01G0011860-2B gene:Sspon.01G0040200-1B
gene:Sspon.01G0011860-2B gene:Sspon.01G0011860-2P
gene:Sspon.01G0040200-1B gene:Sspon.01G0011860-2P
gene:Sspon.01G0011860-2P gene:Sspon.01G0040240-1B
gene:Sspon.01G0012790-2B gene:Sspon.01G0012780-2B
gene:Sspon.01G0040570-1B gene:Sspon.01G0040580-1B
gene:Sspon.01G0040860-1B gene:Sspon.01G0013210-2B
gene:Sspon.01G0040860-1B gene:Sspon.01G0013360-2B
gene:Sspon.01G0013210-2B gene:Sspon.01G0013360-2B
gene:Sspon.01G0013210-2B gene:Sspon.01G0013420-2B
gene:Sspon.01G0013360-2B gene:Sspon.01G0013420-2B
gene:Sspon.01G0013360-2B gene:Sspon.01G0013410-3P
gene:Sspon.01G0013410-3P gene:Sspon.01G0040890-1B
gene:Sspon.01G0013410-3P gene:Sspon.01G0013400-2B
gene:Sspon.01G0040890-1B gene:Sspon.01G0040900-1B
gene:Sspon.01G0013810-2B gene:Sspon.01G0041040-1B
gene:Sspon.01G0014180-2B gene:Sspon.01G0000030-2P
gene:Sspon.01G0000030-2P gene:Sspon.01G0000030-3P
gene:Sspon.01G0041340-1B gene:Sspon.01G0015140-2B
gene:Sspon.01G0015060-1T gene:Sspon.01G0015060-2B
gene:Sspon.01G0015650-2B gene:Sspon.01G0015650-2T
gene:Sspon.01G0015720-1P gene:Sspon.01G0015720-2P
gene:Sspon.01G0015720-2P gene:Sspon.01G0015720-2B
gene:Sspon.01G0041640-1B gene:Sspon.01G0041650-1B
gene:Sspon.01G0041710-1B gene:Sspon.01G0015960-1P
gene:Sspon.01G0041710-1B gene:Sspon.01G0016040-2B
gene:Sspon.01G0015960-1P gene:Sspon.01G0016040-2B
gene:Sspon.01G0016050-2B gene:Sspon.01G0016090-2B
gene:Sspon.01G0041780-1B gene:Sspon.01G0041800-1B
gene:Sspon.01G0041780-1B gene:Sspon.01G0041780-1P
gene:Sspon.01G0041800-1B gene:Sspon.01G0041780-1P
gene:Sspon.01G0041780-1P gene:Sspon.01G0016140-2B
gene:Sspon.01G0016030-1P gene:Sspon.01G0041810-1B
gene:Sspon.01G0014890-2B gene:Sspon.01G0041870-1B
gene:Sspon.01G0016540-1P gene:Sspon.01G0041920-1B
gene:Sspon.01G0016340-2B gene:Sspon.01G0016320-2B
gene:Sspon.01G0042040-1B gene:Sspon.01G0042040-1T
gene:Sspon.01G0042070-1B gene:Sspon.01G0018630-2B
gene:Sspon.01G0028080-2B gene:Sspon.01G0028080-1T
gene:Sspon.01G0028050-1P gene:Sspon.01G0028050-2B
gene:Sspon.01G0024800-2B gene:Sspon.01G0042300-1B
gene:Sspon.01G0042330-1B gene:Sspon.01G0042340-1B
gene:Sspon.01G0042460-1P gene:Sspon.01G0042460-1B
gene:Sspon.01G0017450-2B gene:Sspon.01G0042580-1B
gene:Sspon.01G0042670-1B gene:Sspon.01G0042700-1B
gene:Sspon.01G0017290-2B gene:Sspon.01G0042700-1B
gene:Sspon.01G0042700-1B gene:Sspon.01G0042710-1B
gene:Sspon.01G0042790-1B gene:Sspon.01G0017240-2B
gene:Sspon.01G0042830-1T gene:Sspon.01G0042830-1B
gene:Sspon.01G0017680-2B gene:Sspon.01G0042910-1B
gene:Sspon.01G0017560-2B gene:Sspon.01G0042980-1B
gene:Sspon.01G0043070-1B gene:Sspon.01G0017800-2B
gene:Sspon.01G0017840-2B gene:Sspon.01G0017840-1P
gene:Sspon.01G0043290-1B gene:Sspon.01G0043290-1T
